core_id,run_id,nthreads,function,num_times,n_elements,sizeof,max_mbytes_per_sec,min_runtime,max_runtime,avg_runtime
0,0,1,Copy,100,10000000,8,17477.6,0.0091546,0.0112217,0.0108765
0,0,1,Mul,100,10000000,8,16920.1,0.00945623,0.0108268,0.0104289
0,0,1,Add,100,10000000,8,18765.3,0.0127896,0.014118,0.0138335
0,0,1,Triad,100,10000000,8,18855.2,0.0127286,0.0137021,0.0136006
0,0,1,Dot,100,10000000,8,15868.7,0.0100828,0.0112437,0.0101562
1,0,1,Copy,100,10000000,8,17557.3,0.00911301,0.0107966,0.0102825
1,0,1,Mul,100,10000000,8,17289.7,0.00925405,0.0105023,0.00995647
1,0,1,Add,100,10000000,8,19179.5,0.0125134,0.0137177,0.0132067
1,0,1,Triad,100,10000000,8,19501.1,0.012307,0.0133863,0.0128988
1,0,1,Dot,100,10000000,8,15926,0.0100465,0.0115939,0.010559
2,0,1,Copy,100,10000000,8,17949,0.00891413,0.0107627,0.0105617
2,0,1,Mul,100,10000000,8,17545.2,0.00911929,0.0102187,0.0100009
2,0,1,Add,100,10000000,8,19355.2,0.0123998,0.0135445,0.0133833
2,0,1,Triad,100,10000000,8,19450.7,0.0123389,0.013403,0.0133061
2,0,1,Dot,100,10000000,8,15894.5,0.0100663,0.0116003,0.0101992
3,0,1,Copy,100,10000000,8,17597.7,0.00909209,0.0108875,0.0102693
3,0,1,Mul,100,10000000,8,17386.6,0.00920251,0.0103579,0.00981727
3,0,1,Add,100,10000000,8,19108,0.0125602,0.0138083,0.0131974
3,0,1,Triad,100,10000000,8,19397.5,0.0123727,0.0133774,0.0129125
3,0,1,Dot,100,10000000,8,15942.2,0.0100362,0.011619,0.010651
4,0,1,Copy,100,10000000,8,17788.2,0.00899471,0.0108964,0.0107167
4,0,1,Mul,100,10000000,8,17385.4,0.00920315,0.0103216,0.0101349
4,0,1,Add,100,10000000,8,19408.2,0.0123659,0.0138152,0.0134705
4,0,1,Triad,100,10000000,8,19609.6,0.0122389,0.0132967,0.0131736
4,0,1,Dot,100,10000000,8,16002.7,0.0099983,0.0115692,0.0100958
5,0,1,Copy,100,10000000,8,17909.6,0.00893374,0.0107461,0.0100274
5,0,1,Mul,100,10000000,8,17475.9,0.00915546,0.0102891,0.0096707
5,0,1,Add,100,10000000,8,19585.9,0.0122537,0.0135236,0.0128837
5,0,1,Triad,100,10000000,8,19848.3,0.0120917,0.0130303,0.0125215
5,0,1,Dot,100,10000000,8,15985.7,0.0100089,0.0115946,0.0107158
6,0,1,Copy,100,10000000,8,17673.7,0.00905301,0.0109149,0.0104569
6,0,1,Mul,100,10000000,8,17114.2,0.00934896,0.010555,0.0102223
6,0,1,Add,100,10000000,8,19027.1,0.0126136,0.0137267,0.0134488
6,0,1,Triad,100,10000000,8,19233.7,0.0124781,0.013518,0.0131867
6,0,1,Dot,100,10000000,8,15915.9,0.0100528,0.0116206,0.0103917
7,0,1,Copy,100,10000000,8,17770.7,0.00900361,0.0107741,0.00995016
7,0,1,Mul,100,10000000,8,17345.1,0.00922449,0.0103976,0.00964928
7,0,1,Add,100,10000000,8,19301.2,0.0124345,0.0136221,0.0129231
7,0,1,Triad,100,10000000,8,19575.3,0.0122604,0.0132425,0.0126169
7,0,1,Dot,100,10000000,8,16012.8,0.00999201,0.011584,0.0108182
8,0,1,Copy,100,10000000,8,18354.5,0.00871719,0.0104758,0.010039
8,0,1,Mul,100,10000000,8,18146,0.00881739,0.00998565,0.0095235
8,0,1,Add,100,10000000,8,19776.5,0.0121356,0.0132344,0.0128393
8,0,1,Triad,100,10000000,8,19833.6,0.0121007,0.0132743,0.0128136
8,0,1,Dot,100,10000000,8,15970.9,0.0100182,0.011524,0.0104676
9,0,1,Copy,100,10000000,8,17677.9,0.00905085,0.0109273,0.0107609
9,0,1,Mul,100,10000000,8,17093.5,0.00936029,0.0105798,0.0105164
9,0,1,Add,100,10000000,8,19107.9,0.0125602,0.0138142,0.0137291
9,0,1,Triad,100,10000000,8,19219.7,0.0124872,0.0134068,0.013242
9,0,1,Dot,100,10000000,8,15927.6,0.0100454,0.0116414,0.0101183
10,0,1,Copy,100,10000000,8,17964.9,0.00890625,0.0106364,0.0100924
10,0,1,Mul,100,10000000,8,17891.4,0.00894286,0.01002,0.00957171
10,0,1,Add,100,10000000,8,19617.1,0.0122342,0.0134033,0.0129206
10,0,1,Triad,100,10000000,8,19821,0.0121084,0.0132092,0.0127075
10,0,1,Dot,100,10000000,8,15957.3,0.0100268,0.0115649,0.0105703
11,0,1,Copy,100,10000000,8,18107.1,0.0088363,0.0106172,0.0103454
11,0,1,Mul,100,10000000,8,17583.6,0.00909939,0.0102528,0.0100503
11,0,1,Add,100,10000000,8,19783.3,0.0121314,0.0133237,0.0131501
11,0,1,Triad,100,10000000,8,19879.5,0.0120727,0.0130943,0.0129654
11,0,1,Dot,100,10000000,8,15927.7,0.0100454,0.0115906,0.0102265
12,0,1,Copy,100,10000000,8,17647.7,0.00906636,0.0107674,0.0100848
12,0,1,Mul,100,10000000,8,17468.5,0.00915936,0.0103846,0.00973085
12,0,1,Add,100,10000000,8,19261.2,0.0124603,0.0135754,0.0130123
12,0,1,Triad,100,10000000,8,19454.5,0.0123365,0.0132403,0.0127802
12,0,1,Dot,100,10000000,8,15951.6,0.0100303,0.0115575,0.0107048
13,0,1,Copy,100,10000000,8,17906.1,0.00893552,0.0105834,0.0102893
13,0,1,Mul,100,10000000,8,17405,0.00919275,0.0104819,0.0100593
13,0,1,Add,100,10000000,8,19596.9,0.0122469,0.0134338,0.0131623
13,0,1,Triad,100,10000000,8,19705.1,0.0121796,0.013074,0.0128734
13,0,1,Dot,100,10000000,8,16030.3,0.00998111,0.0115869,0.0102937
14,0,1,Copy,100,10000000,8,18086.8,0.00884625,0.0104601,0.00968553
14,0,1,Mul,100,10000000,8,17871.6,0.00895274,0.0101854,0.00936893
14,0,1,Add,100,10000000,8,19838.1,0.0120979,0.0132392,0.0125404
14,0,1,Triad,100,10000000,8,20093.7,0.011944,0.012998,0.0123369
14,0,1,Dot,100,10000000,8,15909.2,0.0100571,0.0115814,0.0108839
15,0,1,Copy,100,10000000,8,17627.8,0.00907658,0.0108004,0.0102872
15,0,1,Mul,100,10000000,8,17270.4,0.00926443,0.0104128,0.0100162
15,0,1,Add,100,10000000,8,19143,0.0125372,0.0137571,0.0132489
15,0,1,Triad,100,10000000,8,19358.4,0.0123977,0.0133681,0.0130383
15,0,1,Dot,100,10000000,8,15853.8,0.0100922,0.0116319,0.0105486
16,0,1,Copy,100,10000000,8,17758.4,0.00900981,0.010891,0.0107293
16,0,1,Mul,100,10000000,8,16648.3,0.00961058,0.010344,0.0101492
16,0,1,Add,100,10000000,8,18300.9,0.0131141,0.0134957,0.0134479
16,0,1,Triad,100,10000000,8,18228.4,0.0131663,0.0132367,0.0131973
16,0,1,Dot,100,10000000,8,16038.5,0.00997602,0.0102485,0.0100257
17,0,1,Copy,100,10000000,8,18081.7,0.00884871,0.0105302,0.00993921
17,0,1,Mul,100,10000000,8,17766.5,0.00900569,0.010145,0.0096619
17,0,1,Add,100,10000000,8,19803.5,0.012119,0.0132342,0.0127725
17,0,1,Triad,100,10000000,8,20026.7,0.011984,0.0129694,0.0125604
17,0,1,Dot,100,10000000,8,15951.3,0.0100305,0.0115813,0.0105938
18,0,1,Copy,100,10000000,8,17681.9,0.00904882,0.0108971,0.0105804
18,0,1,Mul,100,10000000,8,17290.6,0.0092536,0.0103886,0.0102004
18,0,1,Add,100,10000000,8,19340.1,0.0124095,0.0136852,0.013436
18,0,1,Triad,100,10000000,8,19516.4,0.0122973,0.0132802,0.0131376
18,0,1,Dot,100,10000000,8,15980.6,0.0100121,0.0116217,0.0102082
19,0,1,Copy,100,10000000,8,17889.4,0.00894383,0.0105921,0.0100166
19,0,1,Mul,100,10000000,8,17555.8,0.0091138,0.0103,0.00972289
19,0,1,Add,100,10000000,8,19648.2,0.0122148,0.0133775,0.0128457
19,0,1,Triad,100,10000000,8,19857.1,0.0120864,0.0131743,0.012608
19,0,1,Dot,100,10000000,8,15951.1,0.0100307,0.0115353,0.0106505
20,0,1,Copy,100,10000000,8,17509.8,0.00913773,0.0109932,0.0106775
20,0,1,Mul,100,10000000,8,17007.4,0.00940768,0.0105651,0.0102835
20,0,1,Add,100,10000000,8,18916.4,0.0126874,0.0139716,0.0136123
20,0,1,Triad,100,10000000,8,19147.5,0.0125343,0.0134664,0.0132391
20,0,1,Dot,100,10000000,8,15969.4,0.0100192,0.0116462,0.0103121
21,0,1,Copy,100,10000000,8,17724.9,0.00902686,0.010853,0.0100162
21,0,1,Mul,100,10000000,8,17320.2,0.00923779,0.0104621,0.00972853
21,0,1,Add,100,10000000,8,19157.4,0.0125278,0.0136445,0.0130222
21,0,1,Triad,100,10000000,8,19389,0.0123782,0.0133939,0.0127969
21,0,1,Dot,100,10000000,8,15792.1,0.0101316,0.0116535,0.0109156
22,0,1,Copy,100,10000000,8,17843.9,0.00896664,0.0107352,0.0103291
22,0,1,Mul,100,10000000,8,17502.2,0.0091417,0.0104471,0.0099647
22,0,1,Add,100,10000000,8,19465.2,0.0123297,0.0135921,0.0131622
22,0,1,Triad,100,10000000,8,19618.4,0.0122334,0.0132272,0.0129407
22,0,1,Dot,100,10000000,8,15949.1,0.0100319,0.0116318,0.0104249
23,0,1,Copy,100,10000000,8,16196.4,0.00987875,0.0108235,0.0106628
23,0,1,Mul,100,10000000,8,15758,0.0101536,0.0103774,0.0102059
23,0,1,Add,100,10000000,8,18459.3,0.0130016,0.0134993,0.013414
23,0,1,Triad,100,10000000,8,18362.9,0.0130698,0.0132028,0.0131046
23,0,1,Dot,100,10000000,8,16004.2,0.0099974,0.0102664,0.0100379
24,0,1,Copy,100,10000000,8,17839.6,0.00896879,0.0108361,0.0102453
24,0,1,Mul,100,10000000,8,17505.4,0.00914002,0.0104361,0.00986955
24,0,1,Add,100,10000000,8,19498,0.0123089,0.0136704,0.0131037
24,0,1,Triad,100,10000000,8,19611.8,0.0122375,0.0137608,0.0128629
24,0,1,Dot,100,10000000,8,16008.4,0.00999478,0.0115637,0.0104774
25,0,1,Copy,100,10000000,8,17434.5,0.00917722,0.0110381,0.0108829
25,0,1,Mul,100,10000000,8,17094.7,0.00935965,0.01053,0.0103327
25,0,1,Add,100,10000000,8,18973.1,0.0126495,0.0138442,0.0137237
25,0,1,Triad,100,10000000,8,19100.5,0.0125651,0.0136136,0.0134792
25,0,1,Dot,100,10000000,8,15879.9,0.0100757,0.0116818,0.0101733
26,0,1,Copy,100,10000000,8,17349.9,0.00922197,0.010954,0.0104079
26,0,1,Mul,100,10000000,8,17083.3,0.00936588,0.0105637,0.0100574
26,0,1,Add,100,10000000,8,18787.9,0.0127742,0.0139176,0.0134026
26,0,1,Triad,100,10000000,8,19058,0.0125931,0.0135364,0.013146
26,0,1,Dot,100,10000000,8,15799.1,0.0101271,0.0117645,0.0107033
27,0,1,Copy,100,10000000,8,17971.7,0.00890288,0.0106258,0.010463
